[18.99999999999999, 215.73629999999994, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.94545371534938, 105.40403368280184, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-1.2203237412064059, 103.88353516076852, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-0.94545371534938, 105.40403368280184, 5e+33]
[-0.94545371534938, 105.40403368280184, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.8664680757352925, 105.84095854545508, 5e+33]
[-0.8664680757352925, 105.84095854545508, 5e+33]
[-0.8664680757352925, 105.84095854545508, 5e+33]
[-0.904381182750056, 105.63123461138152, 5e+33]
[-0.904381182750056, 105.63123461138152, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-0.904381182750056, 105.63123461138152, 5e+33]
[-0.904381182750056, 105.63123461138152, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.94545371534938, 105.40403368280184, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.904381182750056, 105.63123461138152, 5e+33]
[-0.904381182750056, 105.63123461138152, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.904381182750056, 105.63123461138152, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-0.904381182750056, 105.63123461138152, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.1824106341916425, 104.0932590948421, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-0.9833668223641434, 105.19430974872827, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.0244393549634676, 104.9671088201486, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.062352461978231, 104.75738488607502, 5e+33]
[-1.103424994577555, 104.53018395749534, 5e+33]
[-1.1413381015923185, 104.32046002342176, 5e+33]
